Under Pressure,Queen & David Bowie,Rock,4,1981
Jessie's Girl,Rick Springfield,Hard Rock,1,1981
Tainted Love,Soft Cell,Pop,4,1981
Pulling Mussels (From the Shell),Squeeze,Pop,30,1981
"White Wedding, Pt. 1",Billy Idol,Rock,1,1982
Allentown,Billy Joel,Rock,14,1982
Pressure,Billy Joel,Pop,13,1982
"Take Me (Live at Chuo Kaikan Hall, Tokyo, Feb. 1982)",Casiopea,Jazz,13,1982
Rock the Casbah,The Clash,Punk,47,1982
Maneater,Daryl Hall & John Oates,Rock,13,1982
It's Getting Stronger,DeBarge,R&B/Soul,2,1982
Come On Eileen,Dexys Midnight Runners,Pop,1,1982
Hurts So Good,John Cougar,Rock,7,1982
Sexual Healing,Marvin Gaye,R&B/Soul,2,1982
Earth Song,Michael Jackson,Soundtrack,2,1982
Beat It,Michael Jackson,Pop,3,1982
The Lady In My Life,Michael Jackson,Pop,35,1982
I Cannot Believe It's True,Phil Collins,Rock,17,1982
You Can't Hurry Love,Phil Collins,Rock,26,1982
Tell Me Something Good,Rufus,Funk,28,1982
A Night to Remember,Shalamar,R&B/Soul,6,1982
Eye of the Tiger,Survivor,Rock,27,1982
Remember Summer Days (Bonus Track),Anri,J-Pop,24,1983
Cruel Summer,Bananarama,Pop,28,1983
Uptown Girl,Billy Joel,Pop,49,1983
The Longest Time,Billy Joel,Rock,28,1983
Tell Her About It,Billy Joel,Rock,24,1983
Girls Just Want to Have Fun,Cyndi Lauper,Pop,,1983
I'm Still Standing,Elton John,Rock,192,1983
I Guess That's Why They Call It the Blues,Elton John,Pop,33,1983
Flashdance...What a Feeling,Irene Cara,Pop,3,1983
Holiday,Madonna,Pop,30,1983
"Promises, Promises",Naked Eyes,Rock,3,1983
"Love, Need and Want You",Patti LaBelle,R&B/Soul,10,1983
Every Breath You Take,The Police,Rock,4,1983
Vamos a la Playa (1983),Righeira,Pop Latino,12,1983
Gold,Spandau Ballet,Pop,39,1983
TRUE,Spandau Ballet,Pop,5,1983
Hold Me Now,Thompson Twins,Pop,,1983
Red Red Wine (12'' Version),UB40,Reggae,24,1983
Dance Hall Days,Wang Chung,Pop,5,1983
It's Raining Men,The Weather Girls,R&B/Soul,5,1983
Forever Young,Alphaville,Pop,36,1984
Do They Know It's Christmas?,Band Aid,Holiday,1,1984
Through the Fire,Chaka Khan,R&B/Soul,18,1984
Time After Time,Cyndi Lauper,Pop,43,1984
Careless Whisper,George Michael,Pop,5,1984
You're the Best,"Joe ""Bean"" Esposito",Soundtrack,70,1984
Angel of the Morning,Juice Newton,Adult Contemporary,21,1984
Material Girl,Madonna,Pop,15,1984
Plastic Love,Mariya Takeuchi,J-Pop,6,1984
Cool It Now,New Edition,R&B/Soul,17,1984
Against All Odds (Take a Look at Me Now),Phil Collins,Rock,14,1984
The Glamorous Life (Club Edit),Sheila E.,R&B/Soul,28,1984
It's My Life,Talk Talk,Rock,42,1984
Lovergirl,Teena Marie,R&B/Soul,27,1984
Last Christmas (Single Version),Wham!,Holiday,1,1984
Everything She Wants,Wham!,Pop,30,1984
Last Christmas,Wham!,Pop,22,1984
If Your Heart Isn't In It,Atlantic Starr,R&B/Soul,37,1985
Tarzan Boy,Baltimora,Rock,3,1985
"Somewhere (From ""West Side Story"")",Barbra Streisand,Vocal,23,1985
Rhythm of the Night,DeBarge,R&B/Soul,1,1985
No Controles,Flans,Pop Latino,17,1985
Love Me Like There's No Tomorrow,Freddie Mercury,Rock,33,1985
Running Up That Hill (A Deal With God) (2018 Remaster),Kate Bush,Pop,5,1985
Your Love,The Outfield,Rock,18,1985
Raspberry Beret,Prince & The Revolution,R&B/Soul,6,1985
Oh Sheila,Ready for the World,R&B/Soul,28,1985
Holding Back the Years,Simply Red,Pop,28,1985
Part-Time Lover,Stevie Wonder,R&B/Soul,33,1985
Everybody Wants to Rule the World,Tears for Fears,Pop,33,1985
We Are the World,U.S.A. for Africa,Rock,1,1985
One Moment in Time,Whitney Houston,R&B/Soul,26,1985
Saving All My Love for You,Whitney Houston,Pop,4,1985
Saving All My Love for You,Whitney Houston,Pop,18,1985
Circles,Atlantic Starr,R&B/Soul,4,1986
Venus,Bananarama,Pop,6,1986
Livin' On a Prayer,Bon Jovi,Hard Rock,1,1986
Amanda,Boston,Rock,60,1986
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,Pop,1,1986
Mighty Wings,Cheap Trick,Soundtrack,2,1986
Don't Dream It's Over,Crowded House,Rock,32,1986
The Final Countdown,Europe,Hard Rock,55,1986
I Knew You Were Waiting (For Me),George Michael & Aretha Franklin,Pop,2,1986
Danger Zone,Kenny Loggins,Soundtrack,9,1986
Iron Eagle (Never Say Die),King Kobra,Hard Rock,11,1986
I Can't Wait,Nu Shooz,Rock,28,1986
"Glory of Love (Theme from ""the Karate Kid, Pt. II"")",Peter Cetera,Rock,26,1986
It's Tricky,Run-DMC,Hip-Hop/Rap,1,1986
As I Lay Me Down,Sophie B. Hawkins,Pop,12,1986
Love Is All Around,Wet Wet Wet,Pop,9,1986
Dude (Looks Like a Lady),Aerosmith,Hard Rock,5,1987
Always,Atlantic Starr,R&B/Soul,26,1987
Heaven Is a Place On Earth,Belinda Carlisle,Rock,1,1987
Dreams,Fleetwood Mac,Rock,33,1987
Faith,George Michael,Pop,2,1987
Sweet Child O' Mine,Guns N' Roses,Hard Rock,14,1987
Ahora Te Puedes Marchar,Luis Miguel,Pop Latino,23,1987
Into the Groove,Madonna,Pop,17,1987
The Way You Make Me Feel (Single Version),Michael Jackson,Pop,3,1987
Dirty Diana,Michael Jackson,Pop,16,1987
I've Got a Little Something for You,MN8,Pop,7,1987
Endless Summer Nights,Richard Marx,Adult Contemporary,12,1987
Never Gonna Give You Up,Rick Astley,Pop,15,1987
Tell It to My Heart,Taylor Dayne,Pop,4,1987
Didn't We Almost Have It All,Whitney Houston,R&B/Soul,19,1987
Kokomo,The Beach Boys,Pop,1,1988
Don't Be Cruel,Bobby Brown,Pop,27,1988
Roni,Bobby Brown,Pop,28,1988
Every Little Step,Bobby Brown,Pop,36,1988
What I Am,Edie Brickell & New Bohemians,Rock,5,1988
The Wheel,Edie Brickell & New Bohemians,Rock,5,1988
Love Like We Do,Edie Brickell & New Bohemians,Rock,6,1988
Town of Plenty,Elton John,Pop,19,1988
I Don't Wanna Go On With You Like That (Just Elton And His Piano Mix),Elton John,Pop,41,1988
Supersonic,J.J. Fad,Hip-Hop/Rap,36,1988
Culpable o No (Miénteme Como Siempre),Luis Miguel,Latin,32,1988
One,Metallica,Metal,11,1988
Can You Stand the Rain,New Edition,R&B/Soul,13,1988
"80s Baby (feat. Salt-N-Pepa, Naughty By Nature, Tiffany & Debbie Gibson)","New Kids on the Block feat. Salt-N-Pepa, Naughty By Nature, Tiffany, Debbie Gibson",Pop,26,1988
Straight Up,Paula Abdul,Dance,1,1988
Ooo La La La,Teena Marie,R&B/Soul,4,1988
Ready or Not,After 7,Pop,18,1989
Ride On Time,Black Box,Pop,24,1989
You Give Love a Bad Name,Bon Jovi,Hard Rock,1,1989
Fiesta en América,Chayanne,Pop Latino,17,1989
I Don't Have the Heart,James Ingram,R&B/Soul,8,1989
Escapade,Janet Jackson,Pop,10,1989
Walking In Memphis,Marc Cohn,Country,52,1989
Another Day in Paradise (2016 Remastered),Phil Collins,Pop,5,1989
Love Will Lead You Back,Taylor Dayne,Pop,18,1989
Pump Up the Jam,Technotronic,Dance,101,1989
Get Up (Before the Night Is Over),Technotronic,Dance,13,1989
Move This,Technotronic & Ya Kid K,Dance,9,1989
Poison (Hip Hop Mix),Bell Biv DeVoe,R&B/Soul,20,1990
Strike It Up,Black Box,Pop,30,1990
Never Stop,The Brand New Heavies,R&B/Soul,10,1990
I Touch Myself,Divinyls,Rock,45,1990
Sing Hallelujah!,Dr. Alban,Pop,50,1990
More Than Words,EXTREME,Hard Rock,13,1990
She Ain't Worth It,Glenn Medeiros,Pop,14,1990
Vacation,The Go-Go's,Pop,32,1990
Somewhere Over the Rainbow,Israel Kamakawiwo'ole,Worldwide,1,1990
Wrap My Body Tight,Johnny Gill,R&B/Soul,29,1990
Sound of da Police,KRS-One,Hip-Hop/Rap,13,1990
Around the Way Girl,LL COOL J,Hip-Hop/Rap,8,1990
Around the Way Girl,LL COOL J,Hip-Hop/Rap,41,1990
Love Takes Time,Mariah Carey,R&B/Soul,8,1990
Someday,Mariah Carey,R&B/Soul,13,1990
U Can't Touch This,MC Hammer,Hip-Hop/Rap,3,1990
(Can't Live Without Your) Love and Affection (Remastered 2017),Nelson,Rock,11,1990
Step By Step,New Kids On the Block,Pop,12,1990
Liquid Dreams,O-Town,Pop,8,1990
Show Me Love,Robin S.,Pop,127,1990
Nothing Compares 2 U,Sinéad O'Connor,Pop,,1990
Here's Where the Story Ends,The Sundays,Alternative,2,1990
Right Here (Human Nature Radio Mix),SWV,R&B/Soul,62,1990
Around the World (La La La La La) [Radio Version],A Touch of Class,Pop,31,1990
I'm Your Baby Tonight,Whitney Houston,Pop,9,1990
Motownphilly,Boyz II Men,Neo-Soul,21,1991
End of the Road,Boyz II Men,Neo-Soul,20,1991
It's So Hard to Say Goodbye to Yesterday (Radio Version),Boyz II Men,Neo-Soul,20,1991
More and More (Single Version),Captain Hollywood Project,Dance,28,1991
Finally,CeCe Peniston,R&B/Soul,8,1991
I Wanna Sex You Up (Single Mix),Color Me Badd,R&B/Soul,9,1991
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) [Basement Boy Strip To The Bone Mix],Crystal Waters,Electronic,21,1991
I Wonder Why,Curtis Stigers,Pop,17,1991
